transit_num	telesscope	observed_t0	t0_err_up	t0_err_lower
0	TESS	2458602.50226838	0.00130207	0.00142825
1	TESS	2458616.83817240	0.00163906	0.00169100
52	TESS	2459347.91533033	0.00189115	0.00194811
101	TESS	2460050.32664465	0.00098112	0.00094931
102	TESS	2460064.66160705	0.00123764	0.00119557
127	MuSCAT4	2460423.03783211	0.00635912	0.00760896
128	LCOGT	2460437.37747950	0.00085682	0.00087067
130	ASTEP	2460466.03603138	0.00256691	0.00267889
131	ASTEP	2460480.38602654	0.00598694	0.00529644
133	ASTEP	2460509.04911354	0.00921893	0.01390783
134	ASTEP	2460523.38417444	0.01194830	0.01759614
157	LCOGT	2460853.07595723	0.01049928	0.01802800
